G11_shinriki
06.09.2021
19:41:14
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

7,769E-1 2,341E-2 1,291E-1 1,136E+0 -5,915E-2 3,003E+1 2,553E+0
1,165E+0 -2,301E-1 6,521E-2 0,000E+0 0,000E+0 7,147E+3 4,081E-9
1,157E+0 -2,251E-1 6,077E-2 0,000E+0 0,000E+0 7,177E+3 5,181E-9
1,151E+0 -2,195E-1 5,550E-2 0,000E+0 0,000E+0 7,207E+3 3,796E-9
1,145E+0 -2,141E-1 5,056E-2 0,000E+0 0,000E+0 7,237E+3 2,478E-9
1,139E+0 -2,080E-1 4,595E-2 0,000E+0 0,000E+0 7,267E+3 2,515E-9
1,134E+0 -2,021E-1 4,151E-2 0,000E+0 0,000E+0 7,297E+3 2,289E-9
1,129E+0 -1,958E-1 3,707E-2 0,000E+0 0,000E+0 7,327E+3 6,999E-9
1,125E+0 -1,892E-1 3,295E-2 0,000E+0 0,000E+0 7,357E+3 8,309E-9
1,121E+0 -1,823E-1 2,834E-2 0,000E+0 0,000E+0 7,387E+3 5,831E-9
1,117E+0 -1,761E-1 2,456E-2 0,000E+0 0,000E+0 7,417E+3 2,873E-9
1,115E+0 -1,688E-1 2,094E-2 0,000E+0 0,000E+0 7,447E+3 2,321E-9
1,112E+0 -1,614E-1 1,748E-2 0,000E+0 0,000E+0 7,477E+3 2,029E-9
1,111E+0 -1,540E-1 1,386E-2 0,000E+0 0,000E+0 7,508E+3 1,956E-9
1,110E+0 -1,461E-1 1,073E-2 0,000E+0 0,000E+0 7,538E+3 2,034E-9
1,109E+0 -1,385E-1 7,442E-3 0,000E+0 0,000E+0 7,568E+3 2,327E-9
1,109E+0 -1,306E-1 5,137E-3 0,000E+0 0,000E+0 7,598E+3 2,507E-9
1,110E+0 -1,227E-1 2,339E-3 0,000E+0 0,000E+0 7,628E+3 2,825E-9
1,111E+0 -1,144E-1 -1,293E-4 0,000E+0 0,000E+0 7,658E+3 3,340E-9
1,113E+0 -1,061E-1 -2,763E-3 0,000E+0 0,000E+0 7,688E+3 3,447E-9
1,116E+0 -9,756E-2 -5,067E-3 0,000E+0 0,000E+0 7,718E+3 2,154E-9
1,120E+0 -8,917E-2 -6,713E-3 0,000E+0 0,000E+0 7,748E+3 1,276E-9
1,123E+0 -8,045E-2 -8,358E-3 0,000E+0 0,000E+0 7,778E+3 1,682E-9
1,128E+0 -7,156E-2 -1,017E-2 0,000E+0 0,000E+0 7,808E+3 1,773E-9
1,134E+0 -6,284E-2 -1,132E-2 0,000E+0 0,000E+0 7,838E+3 1,276E-9
1,139E+0 -5,411E-2 -1,280E-2 0,000E+0 0,000E+0 7,868E+3 1,674E-9
1,147E+0 -4,506E-2 -1,346E-2 0,000E+0 0,000E+0 7,898E+3 1,540E-9
1,154E+0 -3,568E-2 -1,461E-2 0,000E+0 0,000E+0 7,928E+3 1,306E-9
1,162E+0 -2,663E-2 -1,494E-2 0,000E+0 0,000E+0 7,958E+3 1,503E-9
1,172E+0 -1,774E-2 -1,511E-2 0,000E+0 0,000E+0 7,988E+3 1,625E-9
1,181E+0 -8,523E-3 -1,527E-2 0,000E+0 0,000E+0 8,018E+3 2,725E-9
