f	m	t	
	-5.05109E-05	0.127495	
			
			
X in nm	Y Signal 	f	y-f
603.4	0.11034	0.097016723	0.013323277
603.44	0.11018	0.097014703	0.013165297
603.48	0.11619	0.097012682	0.019177318
603.52	0.11604	0.097010662	0.019029338
603.56	0.11502	0.097008641	0.018011359
603.6	0.10952	0.097006621	0.012513379
603.64	0.11105	0.0970046	0.0140454
603.68	0.11136	0.09700258	0.01435742
603.72	0.11125	0.097000559	0.014249441
603.76	0.11288	0.096998539	0.015881461
603.8	0.10917	0.096996519	0.012173481
603.84	0.11024	0.096994498	0.013245502
603.88	0.111	0.096992478	0.014007522
603.92	0.11314	0.096990457	0.016149543
603.96	0.10906	0.096988437	0.012071563
604	0.11604	0.096986416	0.019053584
604.04	0.11594	0.096984396	0.018955604
604.08	0.11136	0.096982376	0.014377624
604.12	0.11237	0.096980355	0.015389645
604.16	0.11125	0.096978335	0.014271665
604.2	0.10458	0.096976314	0.007603686
604.24	0.11217	0.096974294	0.015195706
604.28	0.10927	0.096972273	0.012297727
604.32	0.10912	0.096970253	0.012149747
604.36	0.11492	0.096968232	0.017951768
604.4	0.11105	0.096966212	0.014083788
604.44	0.10362	0.096964192	0.006655808
604.48	0.11186	0.096962171	0.014897829
604.52	0.10942	0.096960151	0.012459849
604.56	0.11405	0.09695813	0.01709187
604.6	0.11416	0.09695611	0.01720389
604.64	0.11024	0.096954089	0.013285911
604.68	0.11029	0.096952069	0.013337931
604.72	0.10744	0.096950049	0.010489951
604.76	0.10642	0.096948028	0.009471972
604.8	0.10525	0.096946008	0.008303992
604.84	0.11074	0.096943987	0.013796013
604.88	0.111	0.096941967	0.014058033
604.92	0.11115	0.096939946	0.014210054
604.96	0.10367	0.096937926	0.006732074
605	0.10652	0.096935906	0.009584095
605.04	0.10738	0.096933885	0.010446115
605.08	0.10932	0.096931865	0.012388135
605.12	0.10545	0.096929844	0.008520156
605.16	0.11018	0.096927824	0.013252176
605.2	0.11008	0.096925803	0.013154197
605.24	0.10703	0.096923783	0.010106217
605.28	0.11329	0.096921762	0.016368238
605.32	0.10723	0.096919742	0.010310258
605.36	0.11202	0.096917722	0.015102278
605.4	0.11385	0.096915701	0.016934299
605.44	0.11298	0.096913681	0.016066319
605.48	0.11232	0.09691166	0.01540834
605.52	0.11192	0.09690964	0.01501036
605.56	0.10947	0.096907619	0.012562381
605.6	0.10749	0.096905599	0.010584401
605.64	0.10937	0.096903579	0.012466421
605.68	0.11507	0.096901558	0.018168442
605.72	0.111	0.096899538	0.014100462
605.76	0.11375	0.096897517	0.016852483
605.8	0.11405	0.096895497	0.017154503
605.84	0.1111	0.096893476	0.014206524
605.88	0.10927	0.096891456	0.012378544
605.92	0.10438	0.096889435	0.007490565
605.96	0.11217	0.096887415	0.015282585
606	0.1081	0.096885395	0.011214605
606.04	0.11207	0.096883374	0.015186626
606.08	0.11197	0.096881354	0.015088646
606.12	0.11288	0.096879333	0.016000667
