G11_pendel
06.09.2021
17:20:15
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
5,840E+0 2,258E+0 8,639E-3 0,000E+0 0,000E+0 1,217E+0 NaN NaN
5,880E+0 2,259E+0 2,143E-2 0,000E+0 0,000E+0 1,225E+0 NaN NaN
5,920E+0 2,262E+0 2,966E-2 0,000E+0 0,000E+0 1,233E+0 NaN NaN
5,960E+0 2,266E+0 4,828E-2 0,000E+0 0,000E+0 1,242E+0 NaN NaN
6,000E+0 2,272E+0 6,007E-2 0,000E+0 0,000E+0 1,250E+0 NaN NaN
6,040E+0 2,279E+0 6,810E-2 0,000E+0 0,000E+0 1,258E+0 NaN NaN
6,080E+0 2,287E+0 8,642E-2 0,000E+0 0,000E+0 1,267E+0 NaN NaN
6,120E+0 2,297E+0 9,805E-2 0,000E+0 0,000E+0 1,275E+0 NaN NaN
6,160E+0 2,308E+0 1,058E-1 0,000E+0 0,000E+0 1,283E+0 NaN NaN
6,200E+0 2,321E+0 1,243E-1 0,000E+0 0,000E+0 1,292E+0 NaN NaN
6,240E+0 2,335E+0 1,352E-1 0,000E+0 0,000E+0 1,300E+0 NaN NaN
6,280E+0 2,351E+0 1,435E-1 0,000E+0 0,000E+0 1,308E+0 NaN NaN
6,320E+0 2,368E+0 1,613E-1 0,000E+0 0,000E+0 1,317E+0 NaN NaN
6,360E+0 2,386E+0 1,724E-1 0,000E+0 0,000E+0 1,325E+0 NaN NaN
6,400E+0 2,406E+0 1,798E-1 0,000E+0 0,000E+0 1,333E+0 NaN NaN
6,440E+0 2,427E+0 1,975E-1 0,000E+0 0,000E+0 1,342E+0 NaN NaN
6,480E+0 2,450E+0 2,078E-1 0,000E+0 0,000E+0 1,350E+0 NaN NaN
6,520E+0 2,474E+0 2,143E-1 0,000E+0 0,000E+0 1,358E+0 NaN NaN
6,560E+0 2,499E+0 2,307E-1 0,000E+0 0,000E+0 1,367E+0 NaN NaN
6,600E+0 2,525E+0 2,396E-1 0,000E+0 0,000E+0 1,375E+0 NaN NaN
6,640E+0 2,553E+0 2,442E-1 0,000E+0 0,000E+0 1,383E+0 NaN NaN
6,680E+0 2,581E+0 2,578E-1 0,000E+0 0,000E+0 1,392E+0 NaN NaN
6,720E+0 2,611E+0 2,646E-1 0,000E+0 0,000E+0 1,400E+0 NaN NaN
6,760E+0 2,641E+0 2,653E-1 0,000E+0 0,000E+0 1,408E+0 NaN NaN
6,800E+0 2,671E+0 2,743E-1 0,000E+0 0,000E+0 1,417E+0 NaN NaN
6,840E+0 2,703E+0 2,780E-1 0,000E+0 0,000E+0 1,425E+0 NaN NaN
6,880E+0 2,735E+0 2,728E-1 0,000E+0 0,000E+0 1,433E+0 NaN NaN
6,920E+0 2,766E+0 2,749E-1 0,000E+0 0,000E+0 1,442E+0 NaN NaN
6,960E+0 2,798E+0 2,739E-1 0,000E+0 0,000E+0 1,450E+0 NaN NaN
7,000E+0 2,830E+0 2,614E-1 0,000E+0 0,000E+0 1,458E+0 NaN NaN
7,040E+0 2,860E+0 2,527E-1 0,000E+0 0,000E+0 1,467E+0 NaN NaN
7,080E+0 2,889E+0 2,451E-1 0,000E+0 0,000E+0 1,475E+0 NaN NaN
7,120E+0 2,917E+0 2,239E-1 0,000E+0 0,000E+0 1,483E+0 NaN NaN
7,160E+0 2,943E+0 2,005E-1 0,000E+0 0,000E+0 1,492E+0 NaN NaN
7,200E+0 2,966E+0 1,822E-1 0,000E+0 0,000E+0 1,500E+0 NaN NaN
7,240E+0 2,987E+0 1,544E-1 0,000E+0 0,000E+0 1,508E+0 NaN NaN
7,280E+0 3,004E+0 1,161E-1 0,000E+0 0,000E+0 1,517E+0 NaN NaN
7,320E+0 3,018E+0 8,106E-2 0,000E+0 0,000E+0 1,525E+0 NaN NaN
7,360E+0 3,027E+0 4,598E-2 0,000E+0 0,000E+0 1,533E+0 NaN NaN
7,400E+0 3,033E+0 -3,433E-4 0,000E+0 0,000E+0 1,542E+0 NaN NaN
7,440E+0 3,033E+0 -5,223E-2 0,000E+0 0,000E+0 1,550E+0 NaN NaN
7,480E+0 3,027E+0 -9,874E-2 0,000E+0 0,000E+0 1,558E+0 NaN NaN
7,520E+0 3,016E+0 -1,442E-1 0,000E+0 0,000E+0 1,567E+0 NaN NaN
7,560E+0 3,000E+0 -1,976E-1 0,000E+0 0,000E+0 1,575E+0 NaN NaN
7,600E+0 2,978E+0 -2,537E-1 0,000E+0 0,000E+0 1,583E+0 NaN NaN
7,640E+0 2,950E+0 -3,015E-1 0,000E+0 0,000E+0 1,592E+0 NaN NaN
7,680E+0 2,916E+0 -3,428E-1 0,000E+0 0,000E+0 1,600E+0 NaN NaN
