x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),yai4_max(V),lambda(nm),freq(THz),relFreq(THz),relx(A)
123.4757,0.129,-7.474083517865909e-05,-0.0002747408351786,0.0015145559663765,,,780.2465762325581,384.22784172608107,,
123.4847,0.1297,-8.510272146568937e-05,-0.0002851027214656,0.0017701565194535,,,780.2465846046512,384.2278376032931,,
123.499,0.1295,-0.0001015666074551,-0.0003015666074551,0.0020996107315647,,,780.2465979069768,384.2278310526413,,
123.5104,0.1293,-0.0001146916634186,-0.0003146916634186,0.0023433714321288,,,780.246608511628,384.22782583044346,,
123.5216,0.1297,-0.0001275864552425,-0.0003275864552425,0.002488118787069,,,780.2466189302326,384.22782069986334,,
123.5335,0.1298,-0.0001412871715554,-0.0003412871715554,0.002529412851693,,0.002529412851693,780.2466300000001,384.2278152486221,30.0,123.5335
123.5449,0.1298,-0.0001544122275189,-0.0003544122275189,0.0022731735522572,,,780.2466406046512,384.2278100264247,,
123.5564,0.1298,-0.0002676524155524,-0.0003676524155524,0.0018164409256333,,,780.2466513023256,384.2278047584188,,
123.5678,0.1297,-0.000280777471516,-0.000380777471516,0.0015602016261975,,,780.2466619069768,384.22779953622165,,
123.5798,0.1294,-0.0002945933198987,-0.0003945933198987,0.0013010023636334,,,780.2466730697674,384.2277940391723,,
123.5928,0.1298,-0.00030956048898,-0.00040956048898,0.0010368698291891,,,780.2466851627908,384.2277880840357,,
123.6044,0.1304,-0.0003229158090833,-0.0005229158090833,0.0009796438753771,,,780.2466959534884,384.2277827702215,,
123.6164,0.1308,-0.000336731657466,-0.000536731657466,0.000920444612813,,,780.2467071162791,384.2277772731725,,
123.6274,0.1307,-0.0003493961851501,-0.0005493961851501,0.0006661786221293,,,780.2467173488373,384.2277722342112,,
123.6378,0.1307,-0.0003613699204151,-0.0005613699204151,0.0007148725945739,,,780.2467270232559,384.2277674701024,,
123.6516,0.1307,-0.0003772581460553,-0.0005772581460553,0.0009467934426252,,,780.2467398604651,384.2277611484967,,
123.6622,0.1307,-0.00048946214546,-0.00068946214546,0.0010945007606937,,,780.2467497209303,384.2277562927706,,
123.6724,0.1307,-0.0005012056165853,-0.0007012056165853,0.0013441813875142,,,780.2467592093024,384.22775162027966,,
123.6844,0.1309,-0.000515021464968,-0.000715021464968,0.0016849821249502,,,780.2467703720931,384.22774612323167,,
123.6978,0.1312,-0.0005304491623287,-0.0007304491623287,0.0020188762817536,,,780.2467828372094,384.2277399848615,,
123.71,0.1315,-0.0005444952748512,-0.0008444952748512,0.0022586903648135,,,780.2467941860466,384.2277343961964,,
123.721,0.1315,-0.0005571598025353,-0.0008571598025353,0.0023044243741298,,,780.2468044186047,384.2277293572361,,
123.7322,0.1316,-0.0006700545943592,-0.0008700545943592,0.00244917172907,,,780.2468148372094,384.22772422665855,,
123.7461,0.1321,-0.0006860579520692,-0.0009860579520692,0.0024805992499334,,,780.2468277674419,384.2277178592456,,
123.7559,0.1323,-0.0006973408949151,-0.0009973408949151,0.002532253185506,,0.002532253185506,780.246836883721,384.2277133699904,31.0,123.7559
123.7678,0.1326,-0.0008110416112279,-0.0011110416112279,0.0024735472501301,,,780.2468479534884,384.2277079187522,,
123.778,0.133,-0.0008227850823533,-0.0011227850823533,0.0022232278769505,,,780.2468574418605,384.2277032462624,,
123.7894,0.1334,-0.0009359101383168,-0.0011359101383168,0.0019669885775148,,,780.2468680465116,384.2276980240681,,
123.8029,0.134,-0.0009514529677474,-0.0012514529677474,0.0017003894071302,,,780.2468806046512,384.2276918398909,,
123.8136,0.1346,-0.000963772099222,-0.001363772099222,0.0014476033980106,,,780.2468905581396,384.2276869383578,,
123.825,0.1346,-0.0009768971551856,-0.0013768971551856,0.0011913640985747,,,780.2469011627908,384.2276817161639,,
123.8361,0.1347,-0.0010896768149396,-0.0013896768149396,0.000936604780703,,,780.2469114883721,384.2276766313964,,
123.8484,0.1344,-0.0012038380595319,-0.0015038380595319,0.0007759255365749,,,780.2469229302326,384.2276709969244,,
123.8601,0.1348,-0.001217308511705,-0.001517308511705,0.0010182062555749,,,780.2469338139535,384.2276656373048,,
123.8727,0.1348,-0.0013318151525069,-0.0016318151525069,0.0012560470298826,,,780.2469455348838,384.2276598654069,,
123.8818,0.1355,-0.0013422921708638,-0.0017422921708638,0.0012111542557716,,,780.2469540000001,384.22765569681417,,
123.8926,0.1358,-0.0014547264344082,-0.0018547264344082,0.0012578749194639,,,780.2469640465117,384.22765074947336,,
123.906,0.1367,-0.0015701541317689,-0.0019701541317689,0.0014917690762674,,,780.246976511628,384.2276446111063,,
123.9198,0.1371,-0.001586042357409,-0.001986042357409,0.0017236899243188,,,780.2469893488372,384.22763828950457,,
123.9291,0.1376,-0.0016967496399057,-0.0020967496399057,0.0020778104958316,,,780.2469980000001,384.2276340292949,,
123.9401,0.1376,-0.0018094141675898,-0.0022094141675898,0.0023235445051479,,,780.2470082325582,384.2276289903373,,
123.9528,0.1379,-0.0019240359404615,-0.0023240359404615,0.0024608919522676,,,780.2470200465117,384.2276231726318,,
123.9645,0.1385,-0.0020375063926347,-0.0025375063926347,0.0026031726712677,,0.0026031726712677,780.2470309302327,384.2276178130136,32.0,123.9645
123.9748,0.1385,-0.0021493649958298,-0.0025493649958298,0.0024523599709002,,,780.2470405116279,384.2276130947173,,
