x	CH0	CH1	CH3	CH4	f-4	Ch4_b	a	b	f	CH0_b	CH1_b	CH3_b
141.2716	0.1729	0.0417	0.0353	0.3643	0.848164395	-0.483864395			0.037597499	0.135302501	0.004102501	0.326702501
141.2726	0.173	0.0417	0.0353	0.3643	0.84817078	-0.48387078			0.037610159	0.135389841	0.004089841	0.326689841
141.2747	0.1729	0.0417	0.0353	0.3644	0.848184189	-0.483784189			0.03762404	0.13527596	0.00407596	0.32677596
141.2739	0.1725	0.0417	0.0353	0.3649	0.848179081	-0.483279081			0.037635993	0.134864007	0.004064007	0.327264007
141.2769	0.1725	0.0417	0.0353	0.3648	0.848198236	-0.483398236			0.037648203	0.134851797	0.004051797	0.327151797
141.2791	0.173	0.0417	0.0353	0.3645	0.848212284	-0.483712284			0.037661055	0.135338945	0.004038945	0.326838945
141.2783	0.1729	0.0417	0.0353	0.3643	0.848207176	-0.483907176			0.037674229	0.135225771	0.004025771	0.326625771
141.2801	0.1727	0.0417	0.0353	0.3643	0.848218669	-0.483918669			0.037687853	0.135012147	0.004012147	0.326612147
141.2827	0.1729	0.0416	0.0352	0.3642	0.84823527	-0.48403527			0.037702248	0.135197752	0.003897752	0.326497752
141.2803	0.1729	0.0417	0.0352	0.3642	0.848219946	-0.484019946			0.037713493	0.135186507	0.003986507	0.326486507
141.283	0.1729	0.0416	0.0352	0.3641	0.848237186	-0.484137186			0.037727117	0.135172883	0.003872883	0.326372883
141.2827	0.1729	0.0416	0.0352	0.3643	0.84823527	-0.48393527			0.037740162	0.135159838	0.003859838	0.326559838
141.2838	0.1731	0.0416	0.0351	0.3643	0.848242294	-0.483942294			0.037753015	0.135346985	0.003846985	0.326546985
141.2862	0.1731	0.0416	0.0351	0.3642	0.848257619	-0.484057619			0.037766189	0.135333811	0.003833811	0.326433811
141.286	0.1729	0.0415	0.0351	0.3642	0.848256341	-0.484056341			0.037780391	0.135119609	0.003719609	0.326419609
141.2895	0.1729	0.0415	0.0351	0.3643	0.84827869	-0.48397869			0.037792279	0.135107721	0.003707721	0.326507721
141.2892	0.1728	0.0415	0.0351	0.3644	0.848276774	-0.483876774			0.03780616	0.13499384	0.00369384	0.32659384
141.2903	0.1728	0.0415	0.0351	0.3642	0.848283798	-0.484083798			0.037818499	0.134981501	0.003681501	0.326381501
141.2935	0.1727	0.0414	0.035	0.3643	0.84830423	-0.48400423			0.037831929	0.134868071	0.003568071	0.326468071
141.2946	0.1728	0.0414	0.035	0.3641	0.848311254	-0.484211254			0.037844653	0.134955347	0.003555347	0.326255347
