Hg-high_einhuellende_0.dat
05/10/2021
13:29
M1: 60um  Speed 1um/s  filter: 129Hz
position_mm  datamess datacalib
40.3068449390 0.0259271637 0.2594719529
40.3068649390 0.0259312373 0.2594920099
40.3068849390 0.0259351097 0.2595101297
40.3069049390 0.0259387754 0.2595262527
40.3069249390 0.0259422343 0.2595404387
40.3069449390 0.0259454846 0.2595526278
40.3069649390 0.0259485263 0.2595628202
40.3069849390 0.0259513576 0.2595709860
40.3070049390 0.0259539764 0.2595771253
40.3070249390 0.0259563848 0.2595812380
40.3070449390 0.0259585809 0.2595833242
40.3070649390 0.0259605628 0.2595833242
40.3070849390 0.0259623323 0.2595812976
40.3071049390 0.0259638876 0.2595772147
40.3071249390 0.0259652305 0.2595710456
40.3071449390 0.0259663612 0.2595628202
40.3071649390 0.0259672776 0.2595525384
40.3071849390 0.0259679835 0.2595401406
40.3072049390 0.0259684771 0.2595257163
40.3072249390 0.0259687603 0.2595091760
40.3072449390 0.0259688348 0.2594905794
40.3072649390 0.0259686988 0.2594699264
40.3072849390 0.0259683561 0.2594471872
40.3073049390 0.0259678084 0.2594223917
40.3073249390 0.0259670559 0.2593955398
40.3073449390 0.0259661004 0.2593666315
40.3073649390 0.0259649418 0.2593356967
40.3073849390 0.0259635858 0.2593027055
40.3074049390 0.0259620324 0.2592676580
40.3074249390 0.0259602815 0.2592306435
40.3074449390 0.0259583388 0.2591915727
40.3074649390 0.0259562023 0.2591505349
40.3074849390 0.0259538796 0.2591075003
40.3075049390 0.0259513687 0.2590624988
40.3075249390 0.0259486735 0.2590155303
40.3075449390 0.0259457957 0.2589666247
40.3075649390 0.0259427410 0.2589157820
40.3075849390 0.0259395074 0.2588630319
40.3076049390 0.0259361025 0.2588084042
40.3076249390 0.0259325244 0.2587518990
40.3076449390 0.0259287786 0.2586935163
40.3076649390 0.0259248689 0.2586333156
40.3076849390 0.0259207953 0.2585712969
40.3077049390 0.0259165633 0.2585074902
40.3077249390 0.0259121750 0.2584418952
40.3077449390 0.0259076320 0.2583745718
40.3077649390 0.0259029400 0.2583055198
40.3077849390 0.0258981008 0.2582347691
40.3078049390 0.0258931182 0.2581623495
40.3078249390 0.0258879941 0.2580882907
40.3078449390 0.0258827340 0.2580125928
40.3078649390 0.0258773398 0.2579353154
40.3078849390 0.0258718133 0.2578564882
40.3079049390 0.0258661583 0.2577761412
40.3079249390 0.0258603804 0.2576943040
40.3079449390 0.0258544814 0.2576109767
40.3079649390 0.0258484650 0.2575262189
40.3079849390 0.0258423313 0.2574400604
40.3080049390 0.0258360896 0.2573525310
40.3080249390 0.0258297380 0.2572636902
40.3080449390 0.0258232802 0.2571735382
40.3080649390 0.0258167237 0.2570821345
40.3080849390 0.0258100666 0.2569894791
40.3081049390 0.0258033145 0.2568956614
40.3081249390 0.0257964712 0.2568007112
40.3081449390 0.0257895403 0.2567046285
40.3081649390 0.0257825218 0.2566074729
40.3081849390 0.0257754214 0.2565093040
40.3082049390 0.0257682409 0.2564101517
40.3082249390 0.0257609859 0.2563100457
40.3082449390 0.0257536564 0.2562090158
40.3082649390 0.0257462580 0.2561071515
40.3082849390 0.0257387925 0.2560044825
40.3083049390 0.0257312618 0.2559010088
40.3083249390 0.0257236715 0.2557968199
40.3083449390 0.0257160217 0.2556919754
40.3083649390 0.0257083178 0.2555864751
40.3083849390 0.0257005617 0.2554803789
40.3084049390 0.0256927554 0.2553737462
40.3084249390 0.0256849024 0.2552666068
40.3084449390 0.0256770067 0.2551590502
40.3084649390 0.0256690700 0.2550510764
40.3084849390 0.0256610960 0.2549427450
40.3085049390 0.0256530847 0.2548341453
40.3085249390 0.0256450418 0.2547252774
40.3085449390 0.0256369691 0.2546162009
40.3085649390 0.0256288685 0.2545070052
40.3085849390 0.0256207436 0.2543976903
40.3086049390 0.0256125964 0.2542883456
40.3086249390 0.0256044306 0.2541790009
40.3086449390 0.0255962461 0.2540697157
40.3086649390 0.0255880486 0.2539605200
40.3086849390 0.0255798399 0.2538515329
40.3087049390 0.0255716201 0.2537427247
40.3087249390 0.0255633928 0.2536341846
40.3087449390 0.0255551618 0.2535260022
40.3087649390 0.0255469289 0.2534181774
40.3087849390 0.0255386960 0.2533107698
40.3088049390 0.0255304668 0.2532038391
40.3088249390 0.0255222414 0.2530974746
40.3088449390 0.0255140252 0.2529916763
40.3088649390 0.0255058166 0.2528865337
40.3088849390 0.0254976209 0.2527821064
40.3089049390 0.0254894402 0.2526783943
40.3089249390 0.0254812762 0.2525755167
40.3089449390 0.0254731309 0.2524734735
40.3089649390 0.0254650060 0.2523723543
40.3089849390 0.0254569054 0.2522721887
40.3090049390 0.0254488308 0.2521730363
40.3090249390 0.0254407842 0.2520749569
40.3090449390 0.0254327692 0.2519780099
40.3090649390 0.0254247840 0.2518822253
40.3090849390 0.0254168361 0.2517876625
40.3091049390 0.0254089236 0.2516943812
40.3091249390 0.0254010521 0.2516024411
40.3091449390 0.0253932215 0.2515118420
40.3091649390 0.0253854338 0.2514227033
40.3091849390 0.0253776927 0.2513350248
40.3092049390 0.0253699999 0.2512488663
40.3092249390 0.0253623556 0.2511642873
40.3092449390 0.0253547654 0.2510813177
40.3092649390 0.0253472310 0.2510000467
40.3092849390 0.0253397524 0.2509204447
40.3093049390 0.0253323335 0.2508426309
40.3093249390 0.0253249761 0.2507666051
40.3093449390 0.0253176820 0.2506924272
40.3093649390 0.0253104530 0.2506201565
40.3093849390 0.0253032930 0.2505497932
40.3094049390 0.0252962019 0.2504814267
40.3094249390 0.0252891835 0.2504150569
40.3094449390 0.0252822395 0.2503507435
40.3094649390 0.0252753738 0.2502885163
40.3094849390 0.0252685845 0.2502284050
40.3095049390 0.0252618790 0.2501704693
40.3095249390 0.0252552535 0.2501147389
40.3095449390 0.0252487157 0.2500612438
40.3095649390 0.0252422635 0.2500100136
40.3095849390 0.0252359025 0.2499610633
40.3096049390 0.0252296329 0.2499144524
40.3096249390 0.0252234563 0.2498701960
40.3096449390 0.0252173748 0.2498283088
40.3096649390 0.0252113920 0.2497888505
40.3096849390 0.0252055079 0.2497518212
40.3097049390 0.0251997281 0.2497172356
40.3097249390 0.0251940489 0.2496851385
40.3097449390 0.0251884777 0.2496555448
40.3097649390 0.0251830127 0.2496284693
40.3097849390 0.0251776595 0.2496039271
40.3098049390 0.0251724161 0.2495819330
