angel	 rel signal 	s (std. deviation)	angle ber
64.35	0.98431	0.00083	43.23
64.36	0.98743	0.00081	43.24
64.37	0.98689	0.00083	43.25
64.38	0.98354	0.00081	43.26
64.39	0.97675	0.00084	43.27
64.4	0.96766	0.00072	43.28
64.41	0.95636	0.00082	43.29
64.42	0.94243	0.00056	43.3
64.43	0.92827	0.00083	43.31
64.44	0.90792	0.0008	43.32
64.45	0.8816	0.00064	43.33
64.46	0.83059	0.00083	43.34
64.47	0.41743	0.00503	43.35
64.48	0.00917	0.00435	43.36
64.49	0.00917	0.00439	43.37
64.5	0.00917	0.00415	43.38
64.51	0.00917	0.00431	43.39
64.52	0.00935	0.0038	43.4
64.53	0.00962	0.0043	43.41
64.54	0.00976	0.00415	43.42
64.55	0.00908	0.00427	43.43
64.56	0.00501	0.00479	43.44
64.57	0.00913	0.00468	43.45
64.58	0.00474	0.00475	43.46
64.59	0.00483	0.00459	43.47
64.6	0.00488	0.00452	43.48
64.61	0.00637	0.0103	43.49
64.62	0.7429	0.00104	43.5
64.63	0.84805	0.0008	43.51
64.64	0.88762	0.00066	43.52
64.65	0.91353	0.00065	43.53
64.66	0.93235	0.00069	43.54
64.67	0.94781	0.00079	43.55
64.68	0.96066	0.00083	43.56
64.69	0.9716	0.00078	43.57
64.7	0.98028	0.0009	43.58
64.71	0.98584	0.00056	43.59
64.72	0.98865	0.001	43.6
64.73	0.98679	0.00095	43.61
64.74	0.98458	0.00072	43.62
64.75	0.97811	0.00058	43.63
64.76	0.96839	0.00053	43.64
64.77	0.95668	0.00064	43.65
64.78	0.94768	0.00078	43.66
64.79	0.93461	0.00066	43.67
64.8	0.91367	0.00083	43.68
64.81	0.88436	0.00061	43.69
64.82	0.84922	0.00054	43.7
64.83	0.75186	0.00109	43.71
64.84	0.03587	0.00268	43.72
64.85	0.03542	0.00242	43.73
64.86	0.03239	0.00594	43.74
64.87	0.03433	0.00391	43.75
64.88	0.03528	0.00268	43.76
64.89	0.03546	0.00247	43.77
64.9	0.03574	0.00274	43.78
64.91	0.03596	0.00305	43.79
64.92	0.0361	0.00295	43.8
64.93	0.03786	0.00461	43.81
64.94	0.03953	0.00624	43.82
64.95	0.04284	0.00993	43.83
64.96	0.04559	0.01077	43.84
64.97	0.31463	0.01693	43.85
64.98	0.82693	0.00073	43.86
64.99	0.87527	0.00086	43.87
65	0.90403	0.00084	43.88
65.01	0.92615	0.00117	43.89
65.02	0.94144	0.00066	43.9
65.03	0.95396	0.0007	43.91
65.04	0.96531	0.00045	43.92
65.05	0.97418	0.00087	43.93
65.06	0.98205	0.00073	43.94
65.07	0.98711	0.00087	43.95
65.08	0.98865	0.00092	43.96
65.09	0.98811	0.00099	43.97
65.1	0.98304	0.00077	43.98
65.11	0.97553	0.00087	43.99
65.12	0.96563	0.0008	44
65.13	0.95401	0.00067	44.01
65.14	0.93963	0.00092	44.02
65.15	0.92742	0.00072	44.03
65.16	0.90716	0.00056	44.04
65.17	0.87631	0.001	44.05
65.18	0.83299	0.00094	44.06
65.19	0.46229	0.00338	44.07
65.2	0.00064	0.00457	44.08
65.21	0.00985	0.00911	44.09
65.22	0.01193	0.00941	44.1
65.23	0.01329	0.00729	44.11
65.24	0.01225	0.00693	44.12
65.25	0.01057	0.00494	44.13
65.26	0.00926	0.00407	44.14
65.27	0.01021	0.00313	44.15
65.28	0.00962	0.00413	44.16
65.29	0.01112	0.00597	44.17
65.3	0.00971	0.00353	44.18
65.31	0.00944	0.00381	44.19
65.32	0.38658	0.00552	44.2
65.33	0.82476	0.00077	44.21
65.34	0.87247	0.00063	44.22
65.35	0.90214	0.00081	44.23
65.36	0.9224	0.00103	44.24
65.37	0.93777	0.0008	44.25
65.38	0.95157	0.00087	44.26
65.39	0.96328	0.00095	44.27
65.4	0.97241	0.00078	44.28
65.41	0.98087	0.00094	44.29
65.42	0.98652	0.00081	44.3
65.43	0.98937	0.00082	44.31
65.44	0.98915	0.0009	44.32
65.45	0.98634	0.00102	44.33
65.46	0.97942	0.00066	44.34
65.47	0.97151	0.00053	44.35
65.48	0.96093	0.0005	44.36
65.49	0.94908	0.00066	44.37
65.5	0.93547	0.00083	44.38
65.51	0.92063	0.00077	44.39
65.52	0.90241	0.00064	44.4
65.53	0.87595	0.0009	44.41
65.54	0.8343	0.00086	44.42
65.55	0.65865	0.00497	44.43
