G11_shinriki
06.09.2021
19:28:22
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

1,526E+0 1,765E-2 1,643E-1 0,000E+0 0,000E+0 5,916E+3 1,066E-10
1,526E+0 1,748E-2 1,641E-1 0,000E+0 0,000E+0 5,946E+3 1,191E-10
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 5,976E+3 1,106E-10
1,526E+0 1,732E-2 1,643E-1 0,000E+0 0,000E+0 6,006E+3 7,257E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 6,036E+3 1,106E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 6,066E+3 1,056E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 6,096E+3 8,365E-11
1,525E+0 1,748E-2 1,638E-1 0,000E+0 0,000E+0 6,126E+3 1,205E-10
1,526E+0 1,765E-2 1,638E-1 0,000E+0 0,000E+0 6,156E+3 1,642E-10
1,526E+0 1,765E-2 1,635E-1 0,000E+0 0,000E+0 6,186E+3 1,088E-10
1,526E+0 1,765E-2 1,638E-1 0,000E+0 0,000E+0 6,216E+3 8,515E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 6,246E+3 7,798E-11
1,526E+0 1,748E-2 1,641E-1 0,000E+0 0,000E+0 6,276E+3 9,478E-11
1,526E+0 1,765E-2 1,643E-1 0,000E+0 0,000E+0 6,306E+3 1,186E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 6,336E+3 1,045E-10
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 6,366E+3 8,683E-11
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 6,396E+3 8,801E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 6,426E+3 6,581E-11
1,526E+0 1,765E-2 1,636E-1 0,000E+0 0,000E+0 6,456E+3 7,892E-11
1,526E+0 1,765E-2 1,638E-1 0,000E+0 0,000E+0 6,486E+3 1,003E-10
1,525E+0 1,765E-2 1,645E-1 0,000E+0 0,000E+0 6,517E+3 7,506E-11
1,526E+0 1,781E-2 1,638E-1 0,000E+0 0,000E+0 6,547E+3 8,950E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 6,577E+3 8,856E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 6,607E+3 7,862E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 6,637E+3 1,190E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 6,667E+3 6,339E-11
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 6,697E+3 9,370E-11
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 6,727E+3 7,606E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 6,757E+3 5,897E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 6,787E+3 8,786E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 6,817E+3 1,045E-10
1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 6,847E+3 7,623E-11
1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 6,877E+3 7,634E-11
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 6,907E+3 6,397E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 6,937E+3 8,620E-11
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 6,967E+3 8,584E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 6,997E+3 7,023E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 7,027E+3 7,226E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 7,057E+3 8,314E-11
1,526E+0 1,781E-2 1,638E-1 0,000E+0 0,000E+0 7,087E+3 1,094E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 7,117E+3 9,616E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 7,147E+3 1,269E-10
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 7,177E+3 1,141E-10
1,526E+0 1,781E-2 1,638E-1 0,000E+0 0,000E+0 7,207E+3 8,353E-11
1,526E+0 1,765E-2 1,638E-1 0,000E+0 0,000E+0 7,237E+3 9,405E-11
1,526E+0 1,797E-2 1,636E-1 0,000E+0 0,000E+0 7,267E+3 9,941E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 7,297E+3 7,785E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 7,327E+3 1,010E-10
1,526E+0 1,814E-2 1,641E-1 0,000E+0 0,000E+0 7,357E+3 6,779E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 7,387E+3 9,096E-11
1,526E+0 1,814E-2 1,640E-1 0,000E+0 0,000E+0 7,417E+3 8,133E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 7,447E+3 6,749E-11
1,526E+0 1,814E-2 1,640E-1 0,000E+0 0,000E+0 7,477E+3 1,308E-10
1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 7,508E+3 1,033E-10
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 7,538E+3 8,292E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 7,568E+3 1,149E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 7,598E+3 8,806E-11
