G11_shinriki
06.09.2021
19:42:12
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

1,387E+0 2,171E-1 1,779E-1 0,000E+0 0,000E+0 6,246E+3 8,273E-9
1,417E+0 2,143E-1 1,824E-1 0,000E+0 0,000E+0 6,276E+3 8,877E-9
1,447E+0 2,112E-1 1,867E-1 0,000E+0 0,000E+0 6,306E+3 7,115E-9
1,476E+0 2,079E-1 1,905E-1 0,000E+0 0,000E+0 6,336E+3 3,548E-9
1,505E+0 2,053E-1 1,947E-1 0,000E+0 0,000E+0 6,366E+3 7,013E-9
1,533E+0 2,026E-1 1,987E-1 0,000E+0 0,000E+0 6,396E+3 1,079E-8
1,562E+0 1,993E-1 2,025E-1 0,000E+0 0,000E+0 6,426E+3 5,248E-9
1,590E+0 1,969E-1 2,061E-1 0,000E+0 0,000E+0 6,456E+3 5,611E-9
1,618E+0 1,939E-1 2,097E-1 0,000E+0 0,000E+0 6,486E+3 6,018E-9
1,646E+0 1,913E-1 2,138E-1 0,000E+0 0,000E+0 6,517E+3 8,331E-9
1,674E+0 1,883E-1 2,174E-1 0,000E+0 0,000E+0 6,547E+3 6,622E-9
1,700E+0 1,860E-1 2,207E-1 0,000E+0 0,000E+0 6,577E+3 7,990E-9
1,727E+0 1,835E-1 2,244E-1 0,000E+0 0,000E+0 6,607E+3 5,699E-9
1,752E+0 1,809E-1 2,275E-1 0,000E+0 0,000E+0 6,637E+3 4,451E-9
1,778E+0 1,784E-1 2,306E-1 0,000E+0 0,000E+0 6,667E+3 3,950E-9
1,802E+0 1,758E-1 2,339E-1 0,000E+0 0,000E+0 6,697E+3 3,445E-9
1,826E+0 1,737E-1 2,370E-1 0,000E+0 0,000E+0 6,727E+3 2,781E-9
1,849E+0 1,714E-1 2,403E-1 0,000E+0 0,000E+0 6,757E+3 3,692E-9
1,871E+0 1,696E-1 2,435E-1 0,000E+0 0,000E+0 6,787E+3 3,686E-9
1,892E+0 1,673E-1 2,461E-1 0,000E+0 0,000E+0 6,817E+3 5,780E-9
1,912E+0 1,654E-1 2,494E-1 0,000E+0 0,000E+0 6,847E+3 2,960E-9
1,932E+0 1,633E-1 2,520E-1 0,000E+0 0,000E+0 6,877E+3 4,770E-9
1,950E+0 1,618E-1 2,550E-1 0,000E+0 0,000E+0 6,907E+3 3,285E-9
1,967E+0 1,598E-1 2,579E-1 0,000E+0 0,000E+0 6,937E+3 2,923E-9
1,983E+0 1,582E-1 2,606E-1 0,000E+0 0,000E+0 6,967E+3 2,673E-9
1,997E+0 1,566E-1 2,634E-1 0,000E+0 0,000E+0 6,997E+3 3,848E-9
2,011E+0 1,551E-1 2,660E-1 0,000E+0 0,000E+0 7,027E+3 2,091E-9
2,023E+0 1,533E-1 2,686E-1 0,000E+0 0,000E+0 7,057E+3 2,239E-9
2,034E+0 1,518E-1 2,713E-1 0,000E+0 0,000E+0 7,087E+3 2,801E-9
2,044E+0 1,501E-1 2,739E-1 0,000E+0 0,000E+0 7,117E+3 3,602E-9
2,054E+0 1,487E-1 2,762E-1 0,000E+0 0,000E+0 7,147E+3 2,463E-9
2,062E+0 1,470E-1 2,790E-1 0,000E+0 0,000E+0 7,177E+3 2,597E-9
2,070E+0 1,454E-1 2,813E-1 0,000E+0 0,000E+0 7,207E+3 1,699E-9
2,076E+0 1,437E-1 2,836E-1 0,000E+0 0,000E+0 7,237E+3 2,280E-9
2,082E+0 1,421E-1 2,859E-1 0,000E+0 0,000E+0 7,267E+3 3,293E-9
2,087E+0 1,404E-1 2,884E-1 0,000E+0 0,000E+0 7,297E+3 3,730E-9
2,091E+0 1,386E-1 2,907E-1 0,000E+0 0,000E+0 7,327E+3 1,790E-9
2,094E+0 1,365E-1 2,928E-1 0,000E+0 0,000E+0 7,357E+3 2,109E-9
2,097E+0 1,345E-1 2,948E-1 0,000E+0 0,000E+0 7,387E+3 1,367E-9
2,099E+0 1,327E-1 2,971E-1 0,000E+0 0,000E+0 7,417E+3 1,470E-9
2,101E+0 1,304E-1 2,992E-1 0,000E+0 0,000E+0 7,447E+3 1,528E-9
2,102E+0 1,279E-1 3,012E-1 0,000E+0 0,000E+0 7,477E+3 1,456E-9
2,103E+0 1,258E-1 3,029E-1 0,000E+0 0,000E+0 7,508E+3 1,281E-9
2,103E+0 1,233E-1 3,052E-1 0,000E+0 0,000E+0 7,538E+3 1,581E-9
2,103E+0 1,207E-1 3,070E-1 0,000E+0 0,000E+0 7,568E+3 1,613E-9
2,102E+0 1,182E-1 3,086E-1 0,000E+0 0,000E+0 7,598E+3 1,713E-9
2,101E+0 1,154E-1 3,104E-1 0,000E+0 0,000E+0 7,628E+3 2,570E-9
2,099E+0 1,124E-1 3,121E-1 0,000E+0 0,000E+0 7,658E+3 2,266E-9
2,097E+0 1,095E-1 3,137E-1 0,000E+0 0,000E+0 7,688E+3 6,493E-10
2,096E+0 1,065E-1 3,150E-1 0,000E+0 0,000E+0 7,718E+3 1,468E-9
2,093E+0 1,034E-1 3,165E-1 0,000E+0 0,000E+0 7,748E+3 1,213E-9
2,091E+0 1,001E-1 3,182E-1 0,000E+0 0,000E+0 7,778E+3 9,625E-10
2,087E+0 9,665E-2 3,195E-1 0,000E+0 0,000E+0 7,808E+3 8,451E-10
2,084E+0 9,319E-2 3,205E-1 0,000E+0 0,000E+0 7,838E+3 7,341E-10
2,081E+0 8,957E-2 3,218E-1 0,000E+0 0,000E+0 7,868E+3 1,080E-9
2,077E+0 8,611E-2 3,229E-1 0,000E+0 0,000E+0 7,898E+3 9,329E-10
2,073E+0 8,249E-2 3,233E-1 0,000E+0 0,000E+0 7,928E+3 1,088E-9
2,068E+0 7,887E-2 3,248E-1 0,000E+0 0,000E+0 7,958E+3 7,548E-10
2,064E+0 7,476E-2 3,257E-1 0,000E+0 0,000E+0 7,988E+3 1,694E-9
2,059E+0 7,081E-2 3,261E-1 0,000E+0 0,000E+0 8,018E+3 1,385E-9
2,055E+0 6,686E-2 3,271E-1 0,000E+0 0,000E+0 8,048E+3 1,844E-9
2,050E+0 6,241E-2 3,279E-1 0,000E+0 0,000E+0 8,078E+3 1,227E-9
